first_name,last_name,email,phone,specialization,license_number,schedule_start,schedule_end,consultation_fee
Ijaya,Krishna,ijaya.krishna953@gmail.com,+91-9654388249,Gynecologist,IN-657028,16:40,18:40,740
Chanakya,Merchant,chanakya.merchant87@yahoo.com,+91-7428015231,Nephrologist,IN-815899,23:49,03:49,686
Nikita,Karpe,nikita.karpe671@gmail.com,+91-9581191318,Gynecologist,IN-843538,16:51,21:51,1163
Udarsh,Bhasin,udarsh.bhasin271@rediff.com,+91-8918246689,Allergist,IN-166573,17:17,20:17,473
Hemal,Banik,hemal.banik777@gmail.com,+91-8739344518,Psychiatrist,IN-139680,18:17,22:17,563
Yamini,Lad,yamini.lad111@rediff.com,+91-8851414816,Pediatrician,IN-617933,08:26,10:26,748
Samuel,Konda,samuel.konda463@gmail.com,+91-8693727949,Oncologist,IN-386068,18:58,21:58,1057
Atharv,Bhalla,atharv.bhalla298@yahoo.com,+91-7700187115,Endocrinologist,IN-857403,08:59,10:59,1443
Hiral,Saraf,hiral.saraf417@rediff.com,+91-7621272989,Oncologist,IN-511223,02:18,05:18,813
Neelima,Manda,neelima.manda993@gmail.com,+91-7620009353,Endocrinologist,IN-849798,11:00,17:00,1076
Charles,Bedi,charles.bedi209@rediff.com,+91-8905491466,Pulmonologist,IN-211526,07:04,13:04,1368
Pratyush,Misra,pratyush.misra226@rediff.com,+91-9641190408,ENT Specialist,IN-189604,03:57,08:57,1097
Sneha,Nanda,sneha.nanda988@gmail.com,+91-9847321349,Oncologist,IN-874143,04:17,09:17,520
Dalbir,Sunder,dalbir.sunder619@gmail.com,+91-7570516228,Pediatrician,IN-362002,10:25,16:25,1001
Nitara,Som,nitara.som28@yahoo.com,+91-8234301428,Cardiologist,IN-986433,03:37,05:37,640
Karan,Natt,karan.natt717@gmail.com,+91-8731937927,Oncologist,IN-414349,03:30,09:30,984
Zaitra,Oza,zaitra.oza697@rediff.com,+91-8551308882,Allergist,IN-819017,23:12,05:12,373
Harish,Kala,harish.kala428@gmail.com,+91-9690827685,General Physician,IN-820663,22:18,01:18,1130
Gaurika,Mand,gaurika.mand307@gmail.com,+91-7441066479,Cardiologist,IN-269903,08:50,14:50,1343
Aarav,Mand,aarav.mand183@rediff.com,+91-9292288615,Pediatrician,IN-223553,19:05,23:05,340
Timothy,Pal,timothy.pal617@gmail.com,+91-7939644708,Ophthalmologist,IN-399002,07:08,10:08,1154
Vasudha,Taneja,vasudha.taneja170@gmail.com,+91-7218356671,Nephrologist,IN-649299,16:35,20:35,851
Yashica,Chand,yashica.chand777@gmail.com,+91-9499493642,Neurologist,IN-809398,11:04,14:04,951
Zilmil,Kale,zilmil.kale752@gmail.com,+91-9942427375,Immunologist,IN-253825,15:46,17:46,1043
Zashil,Bains,zashil.bains367@yahoo.com,+91-9274203080,Endocrinologist,IN-302017,19:27,22:27,778
Yashvi,Padmanabhan,yashvi.padmanabhan872@rediff.com,+91-7228497387,Nephrologist,IN-148503,04:46,06:46,1303
Naveen,Buch,naveen.buch812@gmail.com,+91-8122520902,Oncologist,IN-451191,13:45,18:45,628
Wakeeta,Arora,wakeeta.arora208@rediff.com,+91-7160086248,Pulmonologist,IN-281403,04:44,07:44,1161
Yashasvi,Bhandari,yashasvi.bhandari152@rediff.com,+91-8230897308,Rheumatologist,IN-161443,23:17,03:17,1229
Harsh,Chaudry,harsh.chaudry876@gmail.com,+91-9931880860,Endocrinologist,IN-336198,11:53,16:53,587
Pranit,Sehgal,pranit.sehgal31@yahoo.com,+91-8367345397,Gynecologist,IN-783428,22:18,04:18,788
Alexander,Pal,alexander.pal754@rediff.com,+91-7036506829,Allergist,IN-297593,06:05,10:05,1414
Harshil,Mann,harshil.mann782@gmail.com,+91-8298187499,Psychiatrist,IN-486620,03:56,08:56,806
Arin,Chawla,arin.chawla251@yahoo.com,+91-7146317592,Pulmonologist,IN-280777,03:47,09:47,1027
Yash,Bose,yash.bose253@rediff.com,+91-9042440534,Immunologist,IN-621136,09:39,13:39,925
